AMOSTRA
0
0
0
0
0
0
0
0
0
0
0
0
10
136
278
415
590
751
888
1044
1214
1343
1482
1624
1746
1845
1909
2006
1955
2057
2098
2040
2091
1998
1945
1902
1784
1569
1537
1446
1310
1107
826
993
633
420
389
39
222
0
0
0
0
0
0
0
0
0
0
0
0
0
0
42
125
76
539
580
566
1151
1045
1178
1336
1363
1836
1719
1670
1893
1981
2146
2069
1969
2099
2088
2076
1988
1836
2096
1683
1498
1439
1191
1239
1018
712
743
477
426
217
0
92
0
0
0
0
0
0
0
0
0
0
0
138
0
0
286
287
347
716
713
831
1075
1172
1371
1373
1668
1704
1827
1828
1992
2039
2086
2070
2082
2082
2029
2001
1893
1808
1676
1676
1426
1279
1090
1343
828
678
481
361
205
89
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
82
212
348
511
687
831
973
1139
1279
1409
1566
1708
1818
1898
1963
2026
2069
2092
2100
2099
2055
1990
1889
1823
1708
1592
1457
1362
1180
995
852
714
554
380
255
123
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
57
195
326
481
632
744
968
1123
1317
1305
1536
1684
1725
1862
1975
2008
2023
2080
2107
2072
2079
2016
2051
1893
1727
1591
1517
1402
1180
1023
900
713
547
370
307
140
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
45
211
358
477
612
783
942
1097
1268
1408
1530
1730
1750
1893
1951
1999
2066
2109
2087
2078
2104
1997
1944
1828
1739
1619
1464
1377
1178
1045
854
720
590
424
270
139
58
0
0
0
0
0
0
0
0
0
0
0
0
0
0
22
176
294
440
612
796
891
1104
1244
1375
1519
1638
1766
1858
1921
2022
2069
2093
2081
2113
2085
2003
1948
1833
1767
1626
1539
1399
1246
1073
918
847
612
446
299
172
31
0
0
0
0
0
0
0
0
0
0
0
0
0
0
12
120
255
376
585
729
890
1062
1206
1336
1480
1632
1723
1830
1889
2016
2047
2069
2089
2073
2052
2032
1980
1961
1766
1655
1551
1399
1310
1068
970
833
623
433
314
76
230
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
223
285
299
799
658
869
1059
1085
1480
1516
1490
1701
1795
1988
1978
1895
2100
2120
2131
2060
1907
1915
1912
1796
1688
1491
1596
1198
1023
981
777
888
511
366
222
0
138
0
0
0
0
0
0
0
0
0
0
0
0
0
171
75
164
524
570
623
1183
1039
1113
1663
1469
1543
1860
1832
1902
2027
2036
2104
1994
2084
2104
2023
1999
1897
1823
1626
1605
1441
1279
1074
1013
831
665
533
352
239
37
49
0
0
0
0
0
0
0
0
0
0
0
0
0
0
67
207
343
511
670
794
984
1158
1279
1417
1583
1691
1800
1891
1986
2038
2056
2091
2098
2089
2033
1996
1926
1823
1743
1585
1475
1322
1164
1018
885
702
536
391
246
85
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
57
188
333
477
632
787
1018
1114
1259
1356
1560
1652
1758
1867
1964
2009
2036
2111
2098
2081
2072
2023
1930
1861
1752
1590
1505
1361
1173
1023
883
702
561
418
285
142
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
36
193
297
491
627
802
972
1098
1256
1392
1536
1667
1752
1898
1960
1977
2068
2088
2094
2077
2076
2003
1911
1845
1728
1614
1484
1364
1183
1023
877
715
586
405
295
171
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
35
158
295
427
610
688
921
1099
1230
1386
1512
1648
1806
1855
1943
2021
2060
2085
2101
2133
2064
2024
1946
1877
1735
1634
1515
1371
1227
1078
946
756
607
372
309
158
9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
127
285
487
579
716
899
1052
1194
1349
1507
1619
1734
1842
1925
2001
2037
2120
2107
2180
2051
1972
1963
1863
1775
1686
1548
1411
1252
1121
985
782
622
490
314
173
60
0
0
0
0
0
0
0
0
0
0
0
0
148
0
55
93
91
595
584
587
1451
1010
1201
1329
1365
1689
1739
1743
1906
1947
2243
2116
1961
2096
2088
2179
1974
1753
1793
1663
1631
1504
1145
1166
906
982
674
397
631
97
193
0
0
31
0
0
0
0
0
0
0
0
0
0
0
0
273
230
284
740
729
719
1236
1226
1223
1368
1612
1585
1806
1925
1915
2044
2094
2002
2154
2091
1923
1968
1932
1743
1773
1578
1427
1279
1123
968
737
813
508
295
207
367
0
0
0
0
0
0
0
0
0
0
0
0
0
0
71
98
219
377
509
652
814
997
1131
1279
1510
